,optim,activation,loss,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,ntest,startseed,nruns,seed,loss_eps,tau,symmetric_door_k,weightdecay,epoch,train loss,train error,test error
4,p-sgd,quadratic,mse,3.0,1024,1,384,0.01,0.0,False,2000,100,32,10,37,1e-08,1.0,0.6744899999999999,0,3667,70.15685510635376,0.19837268628180027,5.678046226501465
5,p-sgd,quadratic,mse,3.0,1024,1,384,0.01,0.0,False,2000,100,32,10,38,1e-08,1.0,0.6744899999999999,0,4105,107.32645511627196,0.2880919463932514,5.992840766906737
6,p-sgd,quadratic,mse,3.0,1024,1,384,0.01,0.0,False,2000,100,32,10,39,1e-08,1.0,0.6744899999999999,0,1562,91.40046119689941,0.24286824092268944,9.108306884765623
7,p-sgd,quadratic,mse,3.0,1024,1,384,0.01,0.0,False,2000,100,32,10,40,1e-08,1.0,0.6744899999999999,0,3315,88.36307907104492,0.2271656263619661,9.340397834777832
8,p-sgd,quadratic,mse,3.0,1024,1,384,0.01,0.0,False,2000,100,32,10,41,1e-08,1.0,0.6744899999999999,0,4054,97.70625877380371,0.24544783309102056,5.854929924011231
9,p-sgd,quadratic,mse,3.0,1024,1,384,0.01,0.0,False,2000,100,32,10,42,1e-08,1.0,0.6744899999999999,0,2928,114.65841579437256,0.2960835285484791,7.254039764404298
0,gd,quadratic,mse,3.5,1024,1,3584,0.01,0.0,False,2000,100,32,10,33,1e-08,1.0,0.6744899999999999,0,4483,2111.717041015625,0.5892067551612854,4.336164951324463
1,gd,quadratic,mse,3.5,1024,1,3584,0.01,0.0,False,2000,100,32,10,34,1e-08,1.0,0.6744899999999999,0,3128,2110.488525390625,0.5888639688491821,3.5437281131744385
2,gd,quadratic,mse,3.5,1024,1,3584,0.01,0.0,False,2000,100,32,10,35,1e-08,1.0,0.6744899999999999,0,4227,2126.402587890625,0.5933042764663696,4.0811076164245605
3,gd,quadratic,mse,3.5,1024,1,3584,0.01,0.0,False,2000,100,32,10,36,1e-08,1.0,0.6744899999999999,0,3634,1882.3427734375,0.5252072215080261,5.1658124923706055
4,gd,quadratic,mse,3.5,1024,1,3584,0.01,0.0,False,2000,100,32,10,37,1e-08,1.0,0.6744899999999999,0,5943,2147.55517578125,0.599206268787384,7.4746971130371085
5,gd,quadratic,mse,3.5,1024,1,3584,0.01,0.0,False,2000,100,32,10,38,1e-08,1.0,0.6744899999999999,0,6178,1958.6055908203125,0.546485960483551,8.567913055419924
6,gd,quadratic,mse,3.5,1024,1,3584,0.01,0.0,False,2000,100,32,10,39,1e-08,1.0,0.6744899999999999,0,5262,2062.5703125,0.5754939317703247,8.583927154541017
