,activation,batchsize,early_stopping_epochs,epoch,loss,loss_eps,lr,momentum,nepochs,nesterov,nfeatures,nhidden,nruns,ntest,optim,project_on_sphere,samplecomplexity,seed,startseed,symmetric_door_k,tau,test error,train error,train loss,weightdecay
1,quadratic,2048,,6669,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,gd,,2.0,24,22,0.6744899999999999,1.0,6.565661430358888,0.1909601390361786,391.08636474609375,0
2,quadratic,2048,,19869,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,gd,,2.0,25,22,0.6744899999999999,1.0,5.2535576820373535,0.19452348351478574,398.38409423828125,0
3,quadratic,2048,,15489,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,gd,,2.0,26,22,0.6744899999999999,1.0,13.223196029663086,0.18734461069107056,383.6817626953125,0
4,quadratic,2048,,7085,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,gd,,2.0,27,22,0.6744899999999999,1.0,10.479665756225586,0.20180100202560425,413.2884521484375,0
5,quadratic,2048,,11416,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,gd,,2.0,28,22,0.6744899999999999,1.0,12.271872520446776,0.18604157865047452,381.0131530761719,0
6,quadratic,2048,,6797,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,gd,,2.0,29,22,0.6744899999999999,1.0,6.4524359703063965,0.18944472074508667,387.9827880859375,0
7,quadratic,2048,,7807,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,gd,,2.0,30,22,0.6744899999999999,1.0,5.7346720695495605,0.19027654826641086,389.6863708496094,0
8,quadratic,2048,,6869,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,gd,,2.0,31,22,0.6744899999999999,1.0,7.184056282043457,0.182272806763649,373.2947082519531,0
9,quadratic,2048,,9287,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,gd,,2.0,32,22,0.6744899999999999,1.0,7.0998148918151855,0.19197042286396027,393.1554260253906,0
0,quadratic,1024,,236,mse,1e-08,0.002,0.9,2000,False,1024,1,10,100,p-sgd,,8.0,23,22,0.6744899999999999,1.0,0.0008150389767251909,8.249416441685753e-05,0.0840697530657053,0
