,optim,activation,loss,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,ntest,startseed,nruns,seed,loss_eps,tau,symmetric_door_k,weightdecay,epoch,train loss,train error,test error
1,p-sgd,symmetric-door,logloss,4.0,1024,1,512,0.01,0.0,False,2000,100,32,10,34,1e-08,1.0,0.6744899999999999,0,4163,251.69893646240237,0.34876154363155365,1.0800000429153442
2,p-sgd,symmetric-door,logloss,4.0,1024,1,512,0.01,0.0,False,2000,100,32,10,35,1e-08,1.0,0.6744899999999999,0,3476,255.14596366882324,0.3440365046262741,0.959999978542328
3,p-sgd,symmetric-door,logloss,4.0,1024,1,512,0.01,0.0,False,2000,100,32,10,36,1e-08,1.0,0.6744899999999999,0,1590,260.79055786132807,0.4127041958272457,0.9200000166893004
4,p-sgd,symmetric-door,logloss,4.0,1024,1,512,0.01,0.0,False,2000,100,32,10,37,1e-08,1.0,0.6744899999999999,0,4869,252.6386127471924,0.3712482117116451,0.8399999737739563
5,p-sgd,symmetric-door,logloss,4.0,1024,1,512,0.01,0.0,False,2000,100,32,10,38,1e-08,1.0,0.6744899999999999,0,1526,259.6458740234375,0.3799722455441952,0.8799999952316284
6,p-sgd,symmetric-door,logloss,4.0,1024,1,512,0.01,0.0,False,2000,100,32,10,39,1e-08,1.0,0.6744899999999999,0,3906,241.7228145599365,0.37498077750206,0.7200000286102295
7,p-sgd,symmetric-door,logloss,4.0,1024,1,512,0.01,0.0,False,2000,100,32,10,40,1e-08,1.0,0.6744899999999999,0,2461,242.885856628418,0.3762432187795639,0.9399999976158142
8,p-sgd,symmetric-door,logloss,4.0,1024,1,512,0.01,0.0,False,2000,100,32,10,41,1e-08,1.0,0.6744899999999999,0,2288,258.8434410095215,0.43770597875118256,0.8600000143051147
9,p-sgd,symmetric-door,logloss,4.0,1024,1,512,0.01,0.0,False,2000,100,32,10,42,1e-08,1.0,0.6744899999999999,0,2403,236.1616325378418,0.33616264164447784,0.8000000119209291
0,sgd,symmetric-door,square,1.0,1024,1,128,0.01,0.0,False,2000,100,32,10,33,1e-08,1.0,0.6744899999999999,0,7649,7.127284288406372,0.0,0.8399999737739563
1,sgd,symmetric-door,square,1.0,1024,1,128,0.01,0.0,False,2000,100,32,10,34,1e-08,1.0,0.6744899999999999,0,4351,8.393542408943176,0.0,0.959999978542328
2,sgd,symmetric-door,square,1.0,1024,1,128,0.01,0.0,False,2000,100,32,10,35,1e-08,1.0,0.6744899999999999,0,10174,7.0088165402412415,0.0,1.0
3,sgd,symmetric-door,square,1.0,1024,1,128,0.01,0.0,False,2000,100,32,10,36,1e-08,1.0,0.6744899999999999,0,5485,7.361716330051423,0.0,1.0
4,sgd,symmetric-door,square,1.0,1024,1,128,0.01,0.0,False,2000,100,32,10,37,1e-08,1.0,0.6744899999999999,0,16194,5.942330002784729,0.0,0.959999978542328
5,sgd,symmetric-door,square,1.0,1024,1,128,0.01,0.0,False,2000,100,32,10,38,1e-08,1.0,0.6744899999999999,0,8450,6.958613514900208,0.0,1.0
6,sgd,symmetric-door,square,1.0,1024,1,128,0.01,0.0,False,2000,100,32,10,39,1e-08,1.0,0.6744899999999999,0,6421,7.843049824237823,0.0,0.9200000166893004
7,sgd,symmetric-door,square,1.0,1024,1,128,0.01,0.0,False,2000,100,32,10,40,1e-08,1.0,0.6744899999999999,0,3024,8.568893730640411,0.0,0.8999999761581421
8,sgd,symmetric-door,square,1.0,1024,1,128,0.01,0.0,False,2000,100,32,10,41,1e-08,1.0,0.6744899999999999,0,20002,6.921564757823943,0.001953125,0.8000000119209291
9,sgd,symmetric-door,square,1.0,1024,1,128,0.01,0.0,False,2000,100,32,10,42,1e-08,1.0,0.6744899999999999,0,4142,8.104184865951536,0.0,0.959999978542328
0,sgd,symmetric-door,square,25.0,1024,1,3200,0.01,0.0,False,2000,100,22,10,23,1e-08,1.0,0.6744899999999999,0,2583,676.1247329711914,0.07851562462747097,0.03999999910593033
1,sgd,symmetric-door,square,25.0,1024,1,3200,0.01,0.0,False,2000,100,22,10,24,1e-08,1.0,0.6744899999999999,0,2007,676.0635070800781,0.0800000000745058,0.059999998658895486
2,sgd,symmetric-door,square,25.0,1024,1,3200,0.01,0.0,False,2000,100,22,10,25,1e-08,1.0,0.6744899999999999,0,1301,676.1655349731445,0.07929687574505806,0.059999998658895486
3,sgd,symmetric-door,square,25.0,1024,1,3200,0.01,0.0,False,2000,100,22,10,26,1e-08,1.0,0.6744899999999999,0,2163,676.0279083251952,0.07796875014901161,0.059999998658895486
4,sgd,symmetric-door,square,25.0,1024,1,3200,0.01,0.0,False,2000,100,22,10,27,1e-08,1.0,0.6744899999999999,0,2097,675.9145355224608,0.07937500067055225,0.03999999910593033
5,sgd,symmetric-door,square,25.0,1024,1,3200,0.01,0.0,False,2000,100,22,10,28,1e-08,1.0,0.6744899999999999,0,2560,675.9292602539062,0.07968750037252903,0.059999998658895486
6,sgd,symmetric-door,square,25.0,1024,1,3200,0.01,0.0,False,2000,100,22,10,29,1e-08,1.0,0.6744899999999999,0,1593,676.0995712280272,0.07789062336087227,0.03999999910593033
7,sgd,symmetric-door,square,25.0,1024,1,3200,0.01,0.0,False,2000,100,22,10,30,1e-08,1.0,0.6744899999999999,0,1515,675.9123153686522,0.07953124959021808,0.059999998658895486
8,sgd,symmetric-door,square,25.0,1024,1,3200,0.01,0.0,False,2000,100,22,10,31,1e-08,1.0,0.6744899999999999,0,1424,676.0025405883789,0.07851562555879353,0.059999998658895486
