,optim,labels,loss,samplecomplexity,nfeatures,nhidden,lr,momentum,nesterov,seed,start_seed,activation,second_layer_activation,loss_eps,tau,symmetric_door_k,project_on_sphere,early_stopping_epochs,weight_decay,batch_size,epoch,n_epochs,train_loss,train_error,test_error,n_test
7,p-sgd,quadratic,mse,2.0,1024,2,0.005,0.9,True,30,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1024,20002,2000,2.1305285692214966,0.0020654352847486734,1.4623669385910034,100
8,p-sgd,quadratic,mse,2.0,1024,2,0.005,0.9,True,31,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1024,20002,2000,5.049062967300415,0.004895406309515239,1.0535650253295898,100
9,p-sgd,quadratic,mse,2.0,1024,2,0.005,0.9,True,32,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1024,20002,2000,2.384128451347351,0.002278188127093017,2.004382610321045,100
0,sgd,quadratic,mse,5.0,1024,2,0.005,0.9,True,23,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,2560,272,2000,0.23864201456308365,9.32195362111088e-05,0.0009978787275031211,100
1,sgd,quadratic,mse,5.0,1024,2,0.005,0.9,True,24,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,2560,533,2000,0.18392811715602875,7.184692003647797e-05,0.00099992414470762,100
2,sgd,quadratic,mse,5.0,1024,2,0.005,0.9,True,25,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,2560,346,2000,0.20472098886966705,7.996913700480945e-05,0.000998756033368409,100
3,sgd,quadratic,mse,5.0,1024,2,0.005,0.9,True,26,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,2560,309,2000,0.20809362828731534,8.128657646011561e-05,0.0009988282108679414,100
4,sgd,quadratic,mse,5.0,1024,2,0.005,0.9,True,27,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,2560,343,2000,0.1836206093430519,7.172680125222541e-05,0.000995495356619358,100
5,sgd,quadratic,mse,5.0,1024,2,0.005,0.9,True,28,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,2560,444,2000,0.2523135542869568,9.855998359853402e-05,0.0009941426105797289,100
6,sgd,quadratic,mse,5.0,1024,2,0.005,0.9,True,29,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,2560,334,2000,0.2635128349065781,0.00010293470404576509,0.0009998452151194217,100
7,sgd,quadratic,mse,5.0,1024,2,0.005,0.9,True,30,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,2560,422,2000,0.20361585170030594,7.953744352562353e-05,0.0009933472611010077,100
8,sgd,quadratic,mse,5.0,1024,2,0.005,0.9,True,31,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,2560,363,2000,0.2079130858182907,8.121604696498252e-05,0.0009951727697625756,100
9,sgd,quadratic,mse,5.0,1024,2,0.005,0.9,True,32,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,2560,403,2000,0.19245962798595428,7.517954145441763e-05,0.0009965605568140745,100
0,sgd,quadratic,mse,3.0,1024,2,0.005,0.9,True,23,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1536,2477,2000,0.03578625246882439,2.3298341147892646e-05,0.0009990865364670751,100
1,sgd,quadratic,mse,3.0,1024,2,0.005,0.9,True,24,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1536,2814,2000,0.039586933329701424,2.5772743356355928e-05,0.0009998485911637542,100
