,optim,activation,loss,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,ntest,startseed,nruns,seed,loss_eps,tau,symmetric_door_k,project_on_sphere,early_stopping_epochs,weightdecay,epoch,train loss,train error,test error
3,p-sgd,symmetric-door,square,8.0,1024,1,4096,0.005,0.9,True,2000,100,22,10,26,1e-08,2.0,0.6744899999999999,True,-1,0,20002,709.7288208007812,0.0816475860774517,0.2199999988079071
4,p-sgd,symmetric-door,square,8.0,1024,1,4096,0.005,0.9,True,2000,100,22,10,27,1e-08,2.0,0.6744899999999999,True,-1,0,20002,701.1308288574219,0.08804270252585411,0.2199999988079071
5,p-sgd,symmetric-door,square,8.0,1024,1,4096,0.005,0.9,True,2000,100,22,10,28,1e-08,2.0,0.6744899999999999,True,-1,0,20002,713.4725952148438,0.08075893670320511,0.239999994635582
6,p-sgd,symmetric-door,square,8.0,1024,1,4096,0.005,0.9,True,2000,100,22,10,29,1e-08,2.0,0.6744899999999999,True,-1,0,20002,731.685302734375,0.07212839275598526,0.25999999046325684
7,p-sgd,symmetric-door,square,8.0,1024,1,4096,0.005,0.9,True,2000,100,22,10,30,1e-08,2.0,0.6744899999999999,True,-1,0,20002,690.1393737792969,0.07686590030789375,0.3400000035762787
8,p-sgd,symmetric-door,square,8.0,1024,1,4096,0.005,0.9,True,2000,100,22,10,31,1e-08,2.0,0.6744899999999999,True,-1,0,20002,727.29296875,0.07802892103791237,0.2800000011920929
9,p-sgd,symmetric-door,square,8.0,1024,1,4096,0.005,0.9,True,2000,100,22,10,32,1e-08,2.0,0.6744899999999999,True,-1,0,20002,742.0717468261719,0.08562547713518143,0.119999997317791
0,sgd,symmetric-door,square,8.0,1024,1,4096,0.005,0.9,True,2000,100,22,10,23,1e-08,2.0,0.6744899999999999,True,-1,0,20002,796.3908996582031,0.088623046875,0.1599999964237213
1,sgd,symmetric-door,square,8.0,1024,1,4096,0.005,0.9,True,2000,100,22,10,24,1e-08,2.0,0.6744899999999999,True,-1,0,20002,1654.1968994140625,0.621826171875,1.1200000047683716
2,sgd,symmetric-door,square,8.0,1024,1,4096,0.005,0.9,True,2000,100,22,10,25,1e-08,2.0,0.6744899999999999,True,-1,0,20002,796.313232421875,0.08740234375,0.1599999964237213
3,sgd,symmetric-door,square,8.0,1024,1,4096,0.005,0.9,True,2000,100,22,10,26,1e-08,2.0,0.6744899999999999,True,-1,0,20002,1686.0321044921875,0.63427734375,0.9399999976158142
4,sgd,symmetric-door,square,8.0,1024,1,4096,0.005,0.9,True,2000,100,22,10,27,1e-08,2.0,0.6744899999999999,True,-1,0,20002,796.3032531738281,0.0888671875,0.1599999964237213
5,sgd,symmetric-door,square,8.0,1024,1,4096,0.005,0.9,True,2000,100,22,10,28,1e-08,2.0,0.6744899999999999,True,-1,0,20002,1648.7289428710938,0.614990234375,1.0800000429153442
6,sgd,symmetric-door,square,8.0,1024,1,4096,0.005,0.9,True,2000,100,22,10,29,1e-08,2.0,0.6744899999999999,True,-1,0,20002,796.294189453125,0.087646484375,0.1599999964237213
7,sgd,symmetric-door,square,8.0,1024,1,4096,0.005,0.9,True,2000,100,22,10,30,1e-08,2.0,0.6744899999999999,True,-1,0,20002,1655.5996704101562,0.6220703125,0.9200000166893004
8,sgd,symmetric-door,square,8.0,1024,1,4096,0.005,0.9,True,2000,100,22,10,31,1e-08,2.0,0.6744899999999999,True,-1,0,20002,1661.2278442382812,0.618408203125,1.0800000429153442
9,sgd,symmetric-door,square,8.0,1024,1,4096,0.005,0.9,True,2000,100,22,10,32,1e-08,2.0,0.6744899999999999,True,-1,0,20002,1708.6776733398438,0.641357421875,1.1200000047683716
0,p-sgd,symmetric-door,square,7.0,1024,1,3584,0.01,0.0,False,2000,100,22,10,23,1e-08,2.0,0.6744899999999999,True,-1,0,20002,640.6390380859375,0.08728495240211487,0.2199999988079071
1,p-sgd,symmetric-door,square,7.0,1024,1,3584,0.01,0.0,False,2000,100,22,10,24,1e-08,2.0,0.6744899999999999,True,-1,0,20002,622.1521606445312,0.07906562462449074,0.2199999988079071
2,p-sgd,symmetric-door,square,7.0,1024,1,3584,0.01,0.0,False,2000,100,22,10,25,1e-08,2.0,0.6744899999999999,True,-1,0,20002,633.3006591796875,0.08184860646724701,0.2800000011920929
3,p-sgd,symmetric-door,square,7.0,1024,1,3584,0.01,0.0,False,2000,100,22,10,26,1e-08,2.0,0.6744899999999999,True,-1,0,20002,624.3465576171875,0.08213360607624054,0.2800000011920929
4,p-sgd,symmetric-door,square,7.0,1024,1,3584,0.01,0.0,False,2000,100,22,10,27,1e-08,2.0,0.6744899999999999,True,-1,0,20002,631.8162536621094,0.0905647911131382,0.25999999046325684
5,p-sgd,symmetric-door,square,7.0,1024,1,3584,0.01,0.0,False,2000,100,22,10,28,1e-08,2.0,0.6744899999999999,True,-1,0,20002,646.0300598144531,0.08228613063693048,0.25999999046325684
6,p-sgd,symmetric-door,square,7.0,1024,1,3584,0.01,0.0,False,2000,100,22,10,29,1e-08,2.0,0.6744899999999999,True,-1,0,20002,620.4157104492188,0.07059700042009354,0.2199999988079071
7,p-sgd,symmetric-door,square,7.0,1024,1,3584,0.01,0.0,False,2000,100,22,10,30,1e-08,2.0,0.6744899999999999,True,-1,0,20002,655.1281433105469,0.0845104530453682,0.2199999988079071
8,p-sgd,symmetric-door,square,7.0,1024,1,3584,0.01,0.0,False,2000,100,22,10,31,1e-08,2.0,0.6744899999999999,True,-1,0,20002,626.5081787109375,0.07516000792384148,0.239999994635582
