,optim,labels,loss,samplecomplexity,nfeatures,nhidden,lr,momentum,nesterov,seed,start_seed,activation,second_layer_activation,loss_eps,tau,symmetric_door_k,project_on_sphere,early_stopping_epochs,weight_decay,batch_size,epoch,n_epochs,train_loss,train_error,test_error,n_test
6,gd,symmetric-door,logloss,0.5,1024,5,0.005,0.0,False,29,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,512,7268,1000,273.45758056640625,0.0,1.1399999856948853,100
7,gd,symmetric-door,logloss,0.5,1024,5,0.005,0.0,False,30,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,512,8495,1000,269.27529907226557,0.0,0.9800000190734864,100
8,gd,symmetric-door,logloss,0.5,1024,5,0.005,0.0,False,31,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,512,7025,1000,275.58868408203125,0.0,1.0,100
9,gd,symmetric-door,logloss,0.5,1024,5,0.005,0.0,False,32,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,512,7266,1000,274.18643188476557,0.0,0.8399999737739563,100
0,gd,symmetric-door,logloss,10.0,1024,2,0.005,0.0,False,23,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,10240,10001,1000,5988.0263671875,0.12890625,0.20000000298023224,100
1,gd,symmetric-door,logloss,10.0,1024,2,0.005,0.0,False,24,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,10240,10001,1000,5988.0595703125,0.12773437798023224,0.20000000298023224,100
2,gd,symmetric-door,logloss,10.0,1024,2,0.005,0.0,False,25,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,10240,10001,1000,5988.0263671875,0.12851563096046448,0.20000000298023224,100
3,gd,symmetric-door,logloss,10.0,1024,2,0.005,0.0,False,26,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,10240,10001,1000,5988.076171875,0.12812499701976776,0.20000000298023224,100
4,gd,symmetric-door,logloss,10.0,1024,2,0.005,0.0,False,27,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,10240,10001,1000,5988.025390625,0.12773437798023224,0.20000000298023224,100
5,gd,symmetric-door,logloss,10.0,1024,2,0.005,0.0,False,28,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,10240,10001,1000,5988.02587890625,0.12871094048023224,0.20000000298023224,100
6,gd,symmetric-door,logloss,10.0,1024,2,0.005,0.0,False,29,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,10240,10001,1000,5988.060546875,0.1279296875,0.18000000715255735,100
7,gd,symmetric-door,logloss,10.0,1024,2,0.005,0.0,False,30,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,10240,10001,1000,5987.9814453125,0.12773437798023224,0.18000000715255735,100
8,gd,symmetric-door,logloss,10.0,1024,2,0.005,0.0,False,31,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,10240,10001,1000,5988.0908203125,0.12753906846046448,0.20000000298023224,100
9,gd,symmetric-door,logloss,10.0,1024,2,0.005,0.0,False,32,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,10240,10001,1000,5987.99951171875,0.12734374403953552,0.2199999988079071,100
0,sgd,symmetric-door,logloss,12.0,1024,10,0.005,0.9,True,23,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,6144,10001,1000,3596.9835205078125,0.119140625,0.1599999964237213,100
1,sgd,symmetric-door,logloss,12.0,1024,10,0.005,0.9,True,24,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,6144,10001,1000,3596.991455078125,0.119140625,0.1599999964237213,100
2,sgd,symmetric-door,logloss,12.0,1024,10,0.005,0.9,True,25,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,6144,10001,1000,3596.9830322265625,0.1189778633415699,0.1599999964237213,100
3,sgd,symmetric-door,logloss,12.0,1024,10,0.005,0.9,True,26,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,6144,10001,1000,3596.991455078125,0.1184895858168602,0.1599999964237213,100
4,sgd,symmetric-door,logloss,12.0,1024,10,0.005,0.9,True,27,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,6144,10001,1000,3596.98486328125,0.119140625,0.1599999964237213,100
5,sgd,symmetric-door,logloss,12.0,1024,10,0.005,0.9,True,28,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,6144,10001,1000,3596.988525390625,0.1193033866584301,0.1599999964237213,100
6,sgd,symmetric-door,logloss,12.0,1024,10,0.005,0.9,True,29,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,6144,10001,1000,3596.9871826171875,0.1194661483168602,0.1599999964237213,100
7,sgd,symmetric-door,logloss,12.0,1024,10,0.005,0.9,True,30,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,6144,10001,1000,3596.982788085937,0.119140625,0.1599999964237213,100
8,sgd,symmetric-door,logloss,12.0,1024,10,0.005,0.9,True,31,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,6144,10001,1000,3596.993530273437,0.1189778633415699,0.1599999964237213,100
9,sgd,symmetric-door,logloss,12.0,1024,10,0.005,0.9,True,32,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,6144,10001,1000,3596.9892578125,0.1193033866584301,0.1599999964237213,100
