,optim,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,weightdecay,ntest,startseed,nruns,seed,epoch,train loss,test loss
8,gd,8.0,1024,1,8192,0.001,0.0,False,8000,0,100,22,10,31,400,0.42528581619262695,0.034305408596992486
9,gd,8.0,1024,1,8192,0.001,0.0,False,8000,0,100,22,10,32,500,0.6802963018417358,0.0363970547914505
0,gd,2.7,1024,2,2764,0.001,0.0,False,10000,0,100,27,5,28,100000,69.36751556396484,236.55262756347656
0,gd,2.5,1024,5,2560,0.002,0.9,False,10000,0,100,27,5,28,100000,0.024262700229883197,43.23408508300781
1,gd,2.5,1024,5,2560,0.002,0.9,False,10000,0,100,27,5,29,100000,0.020869571715593338,45.08619689941406
2,gd,2.5,1024,5,2560,0.002,0.9,False,10000,0,100,27,5,30,100000,0.026640191674232483,39.1035385131836
3,gd,2.5,1024,5,2560,0.002,0.9,False,10000,0,100,27,5,31,100000,0.028014523908495903,60.93891525268555
4,gd,2.5,1024,5,2560,0.002,0.9,False,10000,0,100,27,5,32,100000,0.0201372392475605,35.25615692138672
0,gd,2.7,1024,5,2764,0.001,0.0,False,10000,0,100,32,5,33,100000,2.234347343444824,69.76308441162111
0,gd,4.0,1024,10,4096,0.01,0.0,False,10000,0,100,27,5,28,41800,0.14044320583343506,0.7673788070678711
1,gd,4.0,1024,10,4096,0.01,0.0,False,10000,0,100,27,5,29,43300,0.14636103808879852,0.884109377861023
2,gd,4.0,1024,10,4096,0.01,0.0,False,10000,0,100,27,5,30,39900,0.17256705462932587,1.0238640308380127
3,gd,4.0,1024,10,4096,0.01,0.0,False,10000,0,100,27,5,31,43700,0.1349758356809616,0.7173181176185608
4,gd,4.0,1024,10,4096,0.01,0.0,False,10000,0,100,27,5,32,45400,0.13960033655166626,0.8580107688903809
0,gd,2.5,1024,10,2560,0.01,0.0,False,10000,0,100,22,5,23,59100,0.21107417345047,63.2090835571289
